Player,Season,Age,BMI,Weight,HeightInch,GamesPlayed,GamesStarted,NumTargets,NumReceptions,CatchPercent,Position,FanPt,FanPtNextSeason,FanPtNextSeason_Center,Age_Center,GamesPlayed_Center,BMI_Center,NumTargets_Center,NumReceptions_Center,CatchPercent_Center,GamesStarted_Center,Weight_Center,HeightInch_Center
Travis Kelce,2019,30,29.6,250,77,16,16,136,97,71.3,TE,157.3,207.8,109,4,0,2,43,37.5,5.1499999999999915,2,35,2.5
George Kittle,2019,26,30.4,250,76,14,14,107,85,79.4,TE,137.5,77.1,-21.700000000000017,0,-2,2.799999999999997,14,25.5,13.25,0,35,1.5
Robbie Chosen,2019,26,23.1,185,75,16,15,96,52,54.2,WR,110.3,129.1,30.299999999999983,0,0,-4.5,3,-7.5,-11.950000000000003,1,-30,0.5
Tyler Boyd,2019,25,26.1,203,74,16,15,148,90,60.8,WR,132.9,113.6,14.799999999999983,-1,0,-1.5,55,30.5,-5.3500000000000085,1,-12,-0.5
Zach Pascal,2019,25,27.6,215,74,16,13,72,41,56.9,WR,94.3,92.9,-5.900000000000006,-1,0,0,-21,-18.5,-9.250000000000007,-1,0,-0.5
Davante Adams,2019,27,28.4,215,73,12,12,127,83,65.4,WR,129.7,243.4,144.6,1,-4,0.7999999999999972,34,23.5,-0.75,-2,0,-1.5
Willie Snead,2019,27,27.2,195,71,16,11,46,31,67.4,WR,64.1,61.2,-37.60000000000001,1,0,-0.40000000000000213,-47,-28.5,1.25,-3,-20,-3.5
T.Y. Hilton,2019,30,26.3,183,70,10,10,68,45,66.2,WR,80.1,108.2,9.399999999999991,4,-6,-1.3000000000000007,-25,-14.5,0.04999999999999716,-4,-32,-4.5
Diontae Johnson,2019,23,26.3,183,70,16,12,92,59,64.1,WR,104.1,133.8,35,-3,0,-1.3000000000000007,-1,-0.5,-2.0500000000000114,-2,-32,-4.5
Jack Doyle,2019,29,30.3,262,78,16,16,72,43,59.7,TE,68.8,41.1,-57.70000000000001,3,0,2.6999999999999993,-21,-16.5,-6.450000000000003,2,47,3.5
Larry Fitzgerald,2019,36,27.2,218,75,16,16,109,75,68.8,WR,102.4,46.9,-51.90000000000001,10,0,-0.40000000000000213,16,15.5,2.6499999999999915,2,3,0.5
Demarcus Robinson,2019,25,26.8,203,73,16,10,55,32,58.2,WR,68.9,62.6,-36.20000000000001,-1,0,-0.8000000000000007,-38,-27.5,-7.950000000000003,-4,-12,-1.5
D.J. Moore,2019,22,29.3,210,71,15,15,135,87,64.4,WR,143.5,145.5,46.69999999999999,-4,-1,1.6999999999999993,42,27.5,-1.75,1,-5,-3.5
Jimmy Graham,2019,33,29.9,265,79,16,10,60,38,63.3,TE,62.7,93.6,-5.200000000000017,7,0,2.299999999999997,-33,-21.5,-2.8500000000000085,-4,50,4.5
Tyler Higbee,2019,26,29.5,255,78,15,15,89,69,77.5,TE,91.4,84.2,-14.600000000000009,0,-1,1.8999999999999986,-4,9.5,11.349999999999994,1,40,3.5
Darren Waller,2019,27,27.5,238,78,16,16,117,90,76.9,TE,131,171.6,72.79999999999998,1,0,-0.10000000000000142,24,30.5,10.75,2,23,3.5
